"x","y"
"272530.624991","1507080.625"
"272537.87499","1507073.37501"
"272546.031248","1507067.12499"
"272553.281247","1507059.875"
"272560.531246","1507052.625"
"272566.87501","1507044.5"
"272573.218751","1507034.50001"
"272579.531248","1507026.375"
"272586.781247","1507019.125"
"272594.031247","1507011.875"
"272602.187504","1507004.625"
"272609.437504","1506997.375"
"272618.499997","1506992.87499"
"272624.843761","1506984.62501"
"272629.375007","1506975.625"
"272635.718748","1506967.50001"
"272642.937504","1506960.25001"
"272650.187503","1506953.00001"
"272658.343761","1506945.75001"
"272665.59376","1506938.49999"
"272671.031242","1506929.37501"
"272673.749995","1506919.50001"
"272677.375006","1506909.49999"
"272682.812511","1506900.37499"
"272684.625005","1506890.49999"
"272690.968746","1506882.375"
"272693.687498","1506875.99999"
"272695.499992","1506872.375"
"272696.406251","1506862.37501"
"272698.187502","1506852.37499"
"272703.625007","1506843.37501"
"272711.781242","1506837.0"
"272715.406253","1506827.125"
"272723.56251","1506820.74999"
"272731.718745","1506814.37501"
"272740.781238","1506808.99999"
"272746.218744","1506799.87499"
"272750.74999","1506790.87501"
"272753.468743","1506780.87501"
"272757.093754","1506770.87499"
"272760.687499","1506760.99999"
"272764.31251","1506751.0"
"272766.125004","1506741.0"
"272770.656251","1506732.0"
"272774.281239","1506722.0"
"272778.812508","1506712.875"
"272781.531261","1506703.0"
"272786.968743","1506693.875"
"272796.031259","1506688.5"
"272803.281258","1506681.25"
"272809.624999","1506673.12501"
"272819.562508","1506671.25001"
"272827.718742","1506664.875"
"272836.781259","1506659.5"
"272844.031258","1506652.25001"
"272847.656246","1506642.25001"
"272851.281257","1506632.37501"
"272858.531256","1506624.125"
"272866.687491","1506617.87499"
"272874.843749","1506611.50001"
"272877.531258","1506601.50001"
"272882.96874","1506592.5"
"272889.312504","1506584.37499"
"272892.937492","1506574.37499"
"272892.937492","1506563.50001"
"272892.937492","1506552.625"
"272897.468739","1506543.49999"
"272901.09375","1506533.62499"
"272904.718761","1506523.625"
"272911.062502","1506514.62499"
"272916.500007","1506505.49999"
"272921.031253","1506496.50001"
"272921.031253","1506490.125"
"272923.750006","1506486.50001"
"272928.281253","1506477.37501"
"272933.718758","1506468.375"
"272940.031255","1506460.25001"
"272945.46876","1506451.12501"
"272949.093748","1506441.25001"
"272951.812501","1506431.24999"
"272954.531254","1506421.25"
"272962.687511","1506414.87501"
"272970.843746","1506408.625"
"272979.906239","1506404.125"
"272988.062497","1506397.74999"
"272996.187489","1506391.37501"
"273002.531252","1506383.24999"
"273007.968757","1506374.12499"
"273014.312498","1506365.12501"
"273019.750003","1506356.0"
"273022.468756","1506346.125"
"273027.000002","1506337.0"
"273031.531249","1506327.99999"
"273035.15626","1506318.0"
"273039.687507","1506308.99999"
"273044.218753","1506299.87499"
"273049.656259","1506290.87501"
"273055.093741","1506281.75"
"273057.78125","1506271.875"
"273062.312497","1506262.75"
"273065.937508","1506252.75001"
"273070.468754","1506242.87501"
"273076.812495","1506234.625"
"273083.156259","1506226.50001"
"273087.687505","1506217.5"
"273092.218752","1506208.375"
"273094.031246","1506198.5"
"273101.281245","1506187.62501"
"273107.625009","1506179.375"
"273114.875008","1506172.25"
"273123.0","1506165.87501"
"273132.062493","1506156.75001"
"273138.406257","1506148.62499"
"273142.937503","1506139.62501"
"273150.187502","1506132.37501"
"273158.34376","1506121.5"
"273162.875007","1506112.375"
"273167.406253","1506102.5"
"273172.843759","1506093.375"
"273176.437504","1506083.375"
"273179.156256","1506073.5"
"273183.687503","1506063.50001"
"273186.406255","1506053.49999"
"273189.125008","1506043.62499"
"273190.937502","1506033.625"
"273193.656254","1506023.625"
"273196.375007","1506013.62501"
"273199.09376","1506003.75001"
"273207.249994","1505993.75001"
"273215.406252","1505987.375"
"273216.312511","1505980.12501"
"273218.125005","1505977.50001"
"273223.56251","1505968.375"
"273228.999992","1505959.375"
"273233.531239","1505950.24999"
"273234.437497","1505940.25"
"273232.625003","1505930.375"
