trap_id,start_date,end_date,ntrapped
18,2014-06-08,2014-06-09,0
23,2014-06-08,2014-06-09,0
27,2014-06-08,2014-06-09,0
28,2014-06-08,2014-06-09,0
24,2014-06-08,2014-06-09,0
20,2014-06-08,2014-06-09,0
25,2014-06-08,2014-06-09,1
29,2014-06-08,2014-06-09,1
30,2014-06-08,2014-06-09,0
31,2014-06-08,2014-06-09,0
26,2014-06-08,2014-06-09,0
22,2014-06-08,2014-06-09,0
21,2014-06-08,2014-06-09,0
16,2014-06-08,2014-06-09,0
15,2014-06-08,2014-06-09,0
10,2014-06-08,2014-06-09,0
9,2014-06-08,2014-06-09,0
4,2014-06-08,2014-06-09,0
1,2014-06-08,2014-06-09,0
2,2014-06-08,2014-06-09,0
5,2014-06-08,2014-06-09,0
6,2014-06-08,2014-06-09,0
7,2014-06-08,2014-06-09,1
3,2014-06-08,2014-06-09,0
8,2014-06-08,2014-06-09,0
13,2014-06-08,2014-06-09,0
17,2014-06-08,2014-06-09,0
12,2014-06-08,2014-06-09,0
11,2014-06-08,2014-06-09,1
14,2014-06-09,2014-06-10,0
19,2014-06-09,2014-06-10,0
18,2014-06-09,2014-06-10,0
23,2014-06-09,2014-06-10,0
27,2014-06-09,2014-06-10,0
28,2014-06-09,2014-06-10,1
24,2014-06-09,2014-06-10,1
20,2014-06-09,2014-06-10,0
25,2014-06-09,2014-06-10,0
29,2014-06-09,2014-06-10,1
30,2014-06-09,2014-06-10,1
31,2014-06-09,2014-06-10,1
26,2014-06-09,2014-06-10,0
22,2014-06-09,2014-06-10,0
21,2014-06-09,2014-06-10,0
16,2014-06-09,2014-06-10,0
15,2014-06-09,2014-06-10,0
10,2014-06-09,2014-06-10,0
9,2014-06-09,2014-06-10,0
4,2014-06-09,2014-06-10,0
1,2014-06-09,2014-06-10,0
2,2014-06-09,2014-06-10,0
5,2014-06-09,2014-06-10,0
6,2014-06-09,2014-06-10,0
7,2014-06-09,2014-06-10,0
3,2014-06-09,2014-06-10,1
8,2014-06-09,2014-06-10,0
13,2014-06-09,2014-06-10,2
17,2014-06-09,2014-06-10,0
12,2014-06-09,2014-06-10,0
11,2014-06-09,2014-06-10,2
14,2014-06-10,2014-06-12,1
19,2014-06-10,2014-06-12,2
18,2014-06-10,2014-06-12,0
23,2014-06-10,2014-06-12,2
27,2014-06-10,2014-06-12,0
28,2014-06-10,2014-06-12,3
24,2014-06-10,2014-06-12,3
20,2014-06-10,2014-06-12,0
25,2014-06-10,2014-06-12,1
29,2014-06-10,2014-06-12,3
30,2014-06-10,2014-06-12,2
31,2014-06-10,2014-06-12,0
26,2014-06-10,2014-06-12,1
22,2014-06-10,2014-06-12,0
21,2014-06-10,2014-06-12,0
16,2014-06-10,2014-06-12,0
15,2014-06-10,2014-06-12,1
10,2014-06-10,2014-06-12,0
9,2014-06-10,2014-06-12,0
4,2014-06-10,2014-06-12,0
1,2014-06-10,2014-06-12,1
2,2014-06-10,2014-06-12,1
5,2014-06-10,2014-06-12,1
6,2014-06-10,2014-06-12,0
7,2014-06-10,2014-06-12,0
3,2014-06-10,2014-06-12,1
8,2014-06-10,2014-06-12,3
13,2014-06-10,2014-06-12,0
17,2014-06-10,2014-06-12,1
12,2014-06-10,2014-06-12,2
11,2014-06-10,2014-06-12,0
10,2014-06-12,2014-06-14,1
