key,dateCreated,latitude,longitude,altitude,deviceId,entryId,lastEdited,timeUploaded,projectName,photo,barrelID,males,females,note,
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIC0l5KQCQw,2015-06-04 23:27:13.296000,0.0,0.0,0.0,69d0d8da5d9bb93f,69d0d8da5d9bb93f_1433460433296,2015-06-04 23:27:13.296000,2015-06-05 00:04:09.880270,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIC0l5KQCQw","29","2","1","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICkxZaQCQw,2015-04-02 01:26:48.060000,0.0,0.0,0.0,69d0d8da5d9bb93f,69d0d8da5d9bb93f_1427938008060,2015-04-02 01:26:48.060000,2015-04-09 00:49:42.600460,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICkxZaQCQw","7","1","2","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDM0J2QCQw,2015-06-28 21:57:56.574000,0.0,0.0,0.0,69d0d8da5d9bb93f,69d0d8da5d9bb93f_1435528676574,2015-06-28 21:57:56.574000,2015-06-28 22:02:11.439450,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDM0J2QCQw","20","0","0","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgID0xKmQCQw,2015-06-04 22:59:13.741000,0.0,0.0,0.0,69d0d8da5d9bb93f,69d0d8da5d9bb93f_1433458753741,2015-06-04 22:59:13.741000,2015-06-05 00:03:47.414380,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgID0xKmQCQw","1","0","0","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDknquQCQw,2015-04-09 00:28:07.900000,0.0,0.0,0.0,69d0d8da5d9bb93f,69d0d8da5d9bb93f_1428539287900,2015-04-09 00:28:07.900000,2015-04-09 00:50:30.535890,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDknquQCQw","25","1","1","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgID0_a2QCQw,2015-06-17 00:47:36.530000,0.0,0.0,0.0,69d0d8da5d9bb93f,69d0d8da5d9bb93f_1434502056530,2015-06-17 00:47:36.530000,2015-06-17 03:04:02.722290,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgID0_a2QCQw","24","1","6","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgID057yQCQw,2015-06-11 00:24:03.010000,0.0,0.0,0.0,69d0d8da5d9bb93f,69d0d8da5d9bb93f_1433982243010,2015-06-11 00:24:03.010000,2015-06-11 01:02:27.361710,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgID057yQCQw","29","1","0","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICYpfOQCQw,2014-12-11 02:59:38.335000,0.0,0.0,0.0,85a5dcf866e2b1f3,85a5dcf866e2b1f3_1418266778335,2014-12-11 02:59:38.335000,2014-12-11 03:17:59.160120,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICYpfOQCQw","16","0","2","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDYioKRCQw,2014-12-17 23:59:54.843000,0.0,0.0,0.0,85a5dcf866e2b1f3,85a5dcf866e2b1f3_1418860794843,2014-12-17 23:59:54.843000,2014-12-18 00:18:16.990440,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDYioKRCQw","19","3","1","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIC4hp-RCQw,2015-01-15 00:15:15.556000,0.0,0.0,187.0,69d0d8da5d9bb93f,69d0d8da5d9bb93f_1421280915556,2015-01-15 00:15:15.556000,2015-01-20 22:26:42.642480,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIC4hp-RCQw","27","0","0","N/A",
